Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7735333,"Matched (Matched, #1)",Ally Condie,"Condie, Ally",,"=""0525423648""","=""9780525423645""",3,3.63,Dutton Books for Young Readers,Hardcover,369,2010,2010,,2018/12/29,,,read,,,,1,0
3759914,La svastica sul sole,Philip K. Dick,"Dick, Philip K.","Maurizio Nati, Carlo Pagetti, Luigi Bruti Liberati","=""8834710878""","=""9788834710876""",2,3.60,Fanucci,Paperback,336,2008,1962,2018/12/22,2018/12/14,,,read,,,,1,0
35002995,How to Be A Travel Writer (Lonely Planet),Lonely Planet,"Planet, Lonely",,"=""""","=""""",5,3.97,Lonely Planet,Kindle Edition,343,2017,,2018/12/13,2018/09/17,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",0,4.31,Scholastic Press,Hardcover,391,2009,2009,,2018/12/09,,,read,,,,1,0
36425163,Tutto questo ti darò,Dolores Redondo,"Redondo, Dolores",Ascanio Temonte,"=""""","=""""",2,4.13,DeA Planeta,Kindle Edition,576,2017,2016,2018/12/02,2018/12/01,,,read,,,,1,0
33869531,The Help,Kathryn Stockett,"Stockett, Kathryn","Paola Frezza Pavese, Adriana Colombo","=""8804670495""","=""9788804670490""",4,4.47,Mondadori,Paperback,526,1961,2009,,2018/11/26,,,read,,,,1,0
12913570,L'amica geniale (L'amica geniale #1),Elena Ferrante,"Ferrante, Elena",,"=""""","=""""",4,4.03,Edizioni e/o,Paperback,327,2011,2011,2018/11/11,2018/11/02,,,read,,,,1,0
38371184,Le ricette della signora Tokue,Durian Sukegawa,"Sukegawa, Durian",Laura Testaverde,"=""8858427610""","=""9788858427613""",5,4.07,Einaudi,ebook,192,2018,2013,2018/11/07,2018/11/02,,,read,,,,1,0
30655037,Il suono del mondo a memoria,Giacomo Keison Bevilacqua,"Bevilacqua, Giacomo Keison",,"=""8865437170""","=""9788865437179""",3,3.84,Bao Publishing,Hardcover,192,2016,2016,2018/11/05,2018/11/02,,,read,,,,1,0
16256798,The One Thing: The Surprisingly Simple Truth Behind Extraordinary Results,Gary Keller,"Keller, Gary",Jay Papasan,"=""1885167776""","=""9781885167774""",5,4.13,Bard Press,Hardcover,240,2013,2012,2018/11/02,2018/10/18,,,read,,,,1,0
10964,"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,"=""0440242940""","=""9780440242949""",4,4.25,Dell Publishing Company,Mass Market Paperback,850,2005,1991,,2018/10/26,,,read,,,,1,0
